name,category,location,state,courses_offered,min_cutoff_percentage,fees_min,fees_max,ranking,description,website,admission_basis,typical_rank_cutoff,gender_eligibility
IIT Madras,Engineering,Chennai,Tamil Nadu,"Computer Science, Mechanical Engineering, Electrical Engineering, Civil Engineering, Data Science",,200000,250000,1,"Premier government engineering institute, JEE Advanced based admission.",https://www.iitm.ac.in,JEE Advanced,500,Co-ed
IIT Delhi,Engineering,New Delhi,Delhi,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",,200000,250000,2,"Top-ranked IIT, JEE Advanced based admission.",https://home.iitd.ac.in,JEE Advanced,550,Co-ed
IIT Bombay,Engineering,Mumbai,Maharashtra,"Computer Science, Electrical Engineering, Mechanical Engineering, Aerospace Engineering",,200000,250000,1,Leading government engineering institute in India.,https://www.iitb.ac.in,JEE Advanced,450,Co-ed
IIT Kanpur,Engineering,Kanpur,Uttar Pradesh,"Computer Science, Mechanical Engineering, Electrical Engineering, Aerospace Engineering",,200000,250000,4,"Top IIT known for research, JEE Advanced based admission.",https://www.iitk.ac.in,JEE Advanced,700,Co-ed
IIT Kharagpur,Engineering,Kharagpur,West Bengal,"Computer Science, Mechanical Engineering, Civil Engineering, Mining Engineering",,200000,250000,5,"Oldest IIT, JEE Advanced based admission.",https://www.iitkgp.ac.in,JEE Advanced,900,Co-ed
IIT Roorkee,Engineering,Roorkee,Uttarakhand,"Computer Science, Civil Engineering, Electrical Engineering, Architecture",,200000,250000,6,"Premier IIT in North India, JEE Advanced based admission.",https://www.iitr.ac.in,JEE Advanced,1100,Co-ed
IIT Guwahati,Engineering,Guwahati,Assam,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,200000,250000,7,"Top IIT in Northeast India, JEE Advanced based admission.",https://www.iitg.ac.in,JEE Advanced,1300,Co-ed
IIT Hyderabad,Engineering,Hyderabad,Telangana,"Computer Science, Electrical Engineering, Mechanical Engineering, AI and Data Science",,200000,250000,9,"Fast-growing IIT, JEE Advanced based admission.",https://www.iith.ac.in,JEE Advanced,1400,Co-ed
IIT (BHU) Varanasi,Engineering,Varanasi,Uttar Pradesh,"Computer Science, Electrical Engineering, Mechanical Engineering, Metallurgical Engineering",,150000,200000,11,"Historic IIT within Banaras Hindu University, JEE Advanced based.",https://www.iitbhu.ac.in,JEE Advanced,2000,Co-ed
NIT Trichy,Engineering,Tiruchirappalli,Tamil Nadu,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,150000,180000,8,"Top NIT, JEE Main based admission.",https://www.nitt.edu,JEE Main,3000,Co-ed
NIT Warangal,Engineering,Warangal,Telangana,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",,150000,180000,10,Premier NIT in South India.,https://www.nitw.ac.in,JEE Main,3200,Co-ed
NIT Surathkal,Engineering,Surathkal,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,150000,180000,9,"Top NIT on the west coast, JEE Main based admission.",https://www.nitk.ac.in,JEE Main,3100,Co-ed
