name,category,location,state,courses_offered,min_cutoff_percentage,fees_min,fees_max,ranking,description,website
IIT Madras,Engineering,Chennai,Tamil Nadu,"Computer Science, Mechanical Engineering, Electrical Engineering, Civil Engineering, Data Science",95,200000,250000,1,"Premier government engineering institute, JEE Advanced based admission.",https://www.iitm.ac.in
IIT Delhi,Engineering,New Delhi,Delhi,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",95,200000,250000,2,"Top-ranked IIT, JEE Advanced based admission.",https://home.iitd.ac.in
IIT Bombay,Engineering,Mumbai,Maharashtra,"Computer Science, Electrical Engineering, Mechanical Engineering, Aerospace Engineering",95,200000,250000,1,"Leading government engineering institute in India.",https://www.iitb.ac.in
NIT Trichy,Engineering,Tiruchirappalli,Tamil Nadu,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",92,150000,180000,8,"Top NIT, JEE Main based admission.",https://www.nitt.edu
NIT Warangal,Engineering,Warangal,Telangana,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",91,150000,180000,10,"Premier NIT in South India.",https://www.nitw.ac.in
Anna University - CEG Campus,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Civil Engineering, Electronics and Communication",85,50000,75000,25,"Government engineering college under TNEA counseling.",https://www.annauniv.edu
PSG College of Technology,Engineering,Coimbatore,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Electronics and Communication",82,150000,200000,30,"Top private autonomous engineering college in Tamil Nadu.",https://www.psgtech.edu
Thiagarajar College of Engineering,Engineering,Madurai,Tamil Nadu,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Communication",78,120000,160000,45,"Autonomous engineering college, TNEA counseling.",https://www.tce.edu
SSN College of Engineering,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Biomedical Engineering",80,140000,180000,40,"Well-regarded private engineering college near Chennai.",https://www.ssn.edu.in
SRM Institute of Science and Technology,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Biotechnology, AI and Data Science",70,250000,350000,35,"Large private deemed university with multiple specializations.",https://www.srmist.edu.in
VIT Vellore,Engineering,Vellore,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Mechanical Engineering",75,200000,280000,15,"Top private deemed university, VITEEE based admission.",https://vit.ac.in
Sathyabama Institute of Science and Technology,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Aeronautical Engineering",60,180000,220000,60,"Private deemed university in Chennai.",https://sathyabama.ac.in
Hindustan Institute of Technology,Engineering,Chennai,Tamil Nadu,"Computer Science, Mechanical Engineering, Civil Engineering, Aerospace Engineering",55,150000,200000,70,"Private deemed university, management quota seats available.",https://www.hindustanuniv.ac.in
Sri Sairam Engineering College,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Mechanical Engineering",65,90000,130000,50,"Private engineering college under TNEA counseling.",https://www.sairam.edu.in
Coimbatore Institute of Technology,Engineering,Coimbatore,Tamil Nadu,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Communication",76,60000,90000,42,"Government-aided autonomous engineering college.",https://www.cit.edu.in
BITS Pilani,Engineering,Pilani,Rajasthan,"Computer Science, Electronics and Communication, Mechanical Engineering, Chemical Engineering",90,400000,450000,5,"Top private institute, BITSAT based admission.",https://www.bits-pilani.ac.in
Manipal Institute of Technology,Engineering,Manipal,Karnataka,"Computer Science, Information Technology, Electronics and Communication, Aeronautical Engineering",65,350000,420000,20,"Well-known private institute under MAHE.",https://manipal.edu
RV College of Engineering,Engineering,Bengaluru,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Information Science",84,150000,200000,18,"Top autonomous private engineering college in Bengaluru.",https://rvce.edu.in
PES University,Engineering,Bengaluru,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Biotechnology",78,250000,320000,22,"Well-regarded private university in Karnataka.",https://pes.edu
Jadavpur University,Engineering,Kolkata,West Bengal,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",88,15000,25000,12,"Top government university in eastern India.",http://www.jaduniv.edu.in
Delhi Technological University,Engineering,New Delhi,Delhi,"Computer Science, Information Technology, Mechanical Engineering, Electronics and Communication",87,150000,180000,14,"Premier government engineering university in Delhi.",http://dtu.ac.in
Government College of Technology,Engineering,Coimbatore,Tamil Nadu,"Mechanical Engineering, Civil Engineering, Production Engineering, Textile Technology",80,40000,60000,55,"Government engineering college under TNEA counseling.",https://www.gct.ac.in
AIIMS Delhi,Medical,New Delhi,Delhi,"MBBS, Medical Sciences",97,5000,10000,1,"India's premier government medical institute, NEET based admission.",https://www.aiims.edu
Madras Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences",94,15000,25000,5,"Top government medical college in Tamil Nadu, NEET + TN counseling.",https://www.mmc.tn.gov.in
Stanley Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences",92,15000,25000,15,"Government medical college in Chennai under NEET counseling.",https://www.stanleymedicalcollege.com
